Name,ID,State,Network,County,Elevation_ft,Latitude,Longitude
Quail Creek,09UTQUAI,Utah,Reservoir,Washington,2995,37.18022,-113.38098
Red Fleet Reservoir,09UTREDF,Utah,Reservoir,Uintah,5600,40.57465,-109.42272
Red Pine Ridge,714,Utah,SNOTEL,Emery,8988,39.45197,-111.27221
Redden Mine Lwr,1225,Utah,SNOTEL,Summit,8532,40.67505,-111.21765
Rees Flat,1217,Utah,SNOTEL,Juab,7206,39.49667,-111.72508
Rock Creek,720,Utah,SNOTEL,Duchesne,7886,40.54875,-110.69292
Rockport Reservoir,10129400,Utah,Reservoir,Summit,6050,40.78902,-111.40301
Rockwood GS,1309,Utah,SNOTEL,Sevier,8593,38.67101,-112.3305
Rocky Basin-Settleme,723,Utah,SNOTEL,Tooele,8704,40.44293,-112.22377
Sand Hollow,2159,Utah,SCAN,Washington,3088,37.10516,-113.35615
Sand Hollow Reservoir,09UTSAND,Utah,Reservoir,Washington,2992,37.11417,-113.37472
Santaquin Meadows,1280,Utah,SNOTEL,Utah,7835,39.92076,-111.71802
Scofield Reservoir,9311000,Utah,Reservoir,Carbon,7650,39.78704,-111.12046
Seeley Creek,742,Utah,SNOTEL,Sanpete,9904,39.31042,-111.43297
Settlement Canyon Reservoir,10UT03JJ,Utah,Reservoir,Tooele,5320,40.51086,-112.29504
Sevier Bridge Reservoir,10218500,Utah,Reservoir,Juab,5000,39.37246,-112.03309
Smith  Morehouse,763,Utah,SNOTEL,Summit,7631,40.78931,-111.09192
Smith And Morehouse Reservoir,10128000,Utah,Reservoir,Summit,7633,40.76202,-111.10338
Snowbird,766,Utah,SNOTEL,Salt Lake,9177,40.56914,-111.65852
Spirit Lk,1117,Utah,SNOTEL,Daggett,10235,40.83868,-110.00527
Split Mountain,2154,Utah,SCAN,Uintah,4844,40.39136,-109.35326
Spooky,2158,Utah,SCAN,Kane,5341,37.51468,-111.26189
Starvation Reservoir,09UT02JJ,Utah,Reservoir,Duchesne,5712,40.19048,-110.44801
Stateline Reservoir,9219600,Utah,Reservoir,Summit,9200,40.98822,-110.38626
Steel Creek Park,790,Utah,SNOTEL,Summit,10158,40.90862,-110.50462
Steinaker Reservoir,9271300,Utah,Reservoir,Uintah,5520,40.50711,-109.53125
Strawberry Divide,795,Utah,SNOTEL,Wasatch,8123,40.16483,-111.20665
Strawberry Reservoir,9282500,Utah,Reservoir,Wasatch,7600,40.13728,-111.02699
Sunflower Flat,1249,Utah,SNOTEL,Garfield,10018,38.048,-111.33981
Suu Ranch,1248,Utah,SNOTEL,Iron,8050,37.59711,-112.92949
Takka Wiiya,1247,Utah,SNOTEL,Juab,9122,39.74104,-113.98262
