Name,Latitude,Longitude,County
Mount Pleasant city,39.54,-111.46,19
Mountain Green,41.15,-111.79,19
Murray city,40.65,-111.89,2
Myton city,40.19,-110.06,3
Naples city,40.43,-109.49,10
Navajo Mountain,37.05,-110.79,10
Neola,40.43,-110.03,10
Nephi city,39.71,-111.83,24
New Harmony town,37.48,-113.31,9
Newcastle,37.66,-113.56,9
Newton town,41.86,-111.99,5
Nibley city,41.67,-111.85,5
North Logan city,41.78,-111.81,5
North Ogden city,41.31,-111.96,29
North Salt Lake city,40.84,-111.92,15
Oak City town,39.38,-112.34,23
Oakley city,40.73,-111.28,22
Oasis,39.29,-112.63,22
Ogden city,41.23,-111.97,29
Oljato-Monument Valley,37.03,-110.25,29
Ophir town,40.37,-112.26,29
Orangeville city,39.23,-111.06,17
Orderville town,37.25,-112.66,4
Orem city,40.3,-111.7,1
Palmyra,40.15,-111.7,1
Panguitch city,37.82,-112.44,8
Paradise town,41.57,-111.83,5
Paragonah town,37.89,-112.77,16
Park City city,40.64,-111.5,22
Parowan city,37.83,-112.83,16
Payson city,40.04,-111.73,1
Peoa,40.73,-111.34,1
Perry city,41.46,-112.04,11
Peter,41.77,-111.99,11
Pine Valley,37.39,-113.51,11
Plain City city,41.31,-112.09,29
Pleasant Grove city,40.37,-111.74,1
Pleasant View city,41.32,-112,29
Plymouth town,41.88,-112.14,11
Portage town,41.98,-112.24,11
Price city,39.6,-110.8,26
Providence city,41.7,-111.81,5
Provo city,40.25,-111.65,1
Randlett,40.23,-109.83,1
Randolph town,41.66,-111.18,30
Redmond town,39.01,-111.87,7
Richfield city,38.76,-112.09,7
Richmond city,41.92,-111.81,5
River Heights city,41.72,-111.82,5
Riverdale city,41.17,-112,5
Riverside,41.81,-112.14,5
Riverton city,40.52,-111.96,2
Rockville town,37.15,-113.05,9
Rocky Ridge town,39.92,-111.83,24
Roosevelt city,40.29,-110,3
Roy city,41.17,-112.05,29
Rush Valley town,40.36,-112.45,27
Salem city,40.05,-111.67,27
Salina city,38.94,-111.87,7
Salt Lake City city,40.78,-111.93,2
Samak,40.63,-111.22,2
Sandy city,40.57,-111.85,2
Santa Clara city,37.13,-113.66,9
Santaquin city,39.97,-111.79,1
Saratoga Springs city,40.35,-111.91,1
Scipio town,39.25,-112.1,23
Scofield town,39.72,-111.16,26
Sigurd town,38.85,-111.97,7
Silver Summit,40.74,-111.49,7
Smithfield city,41.83,-111.83,5
Snowville town,41.97,-112.72,11
Snyderville,40.7,-111.54,11
South Jordan city,40.56,-111.98,2
South Ogden city,41.17,-111.96,29
South Salt Lake city,40.71,-111.9,2
South Weber city,41.13,-111.94,15
South Willard,41.36,-112.04,15
Spanish Fork city,40.11,-111.64,1
Spanish Valley,38.47,-109.42,1
Spring City city,39.48,-111.49,19
Spring Glen,39.66,-110.85,19
Spring Lake,40.01,-111.75,19
Springdale town,37.18,-113,9
Springville city,40.16,-111.62,1
St. George city,37.08,-113.58,1
Stansbury Park,40.64,-112.3,1
Sterling town,39.19,-111.69,19
Stockton town,40.45,-112.37,27
Summit,37.8,-112.94,27
Summit Park,40.74,-111.58,27
Sunnyside city,39.55,-110.4,27
Sunset city,41.14,-112.03,15
Sutherland,39.39,-112.64,15
Syracuse city,41.09,-112.07,15
Tabiona town,40.35,-110.71,3
Taylorsville city,40.66,-111.95,2
Teasdale,38.29,-111.47,2
Thatcher,41.68,-112.32,2
Thompson Springs,38.96,-109.7,2
Timber Lakes,40.47,-111.25,2
Tooele city,40.54,-112.31,27
Toquerville town,37.26,-113.29,9
Torrey town,38.3,-111.42,13
Tremonton city,41.72,-112.19,11
Trenton town,41.91,-111.93,5
Tropic town,37.63,-112.09,8
Tselakai Dezza,37.21,-109.61,8
Uintah town,41.14,-111.93,29
Vernal city,40.45,-109.54,10
Vernon town,40.09,-112.45,27
Veyo,37.34,-113.69,27
Vineyard town,40.31,-111.75,1
Virgin town,37.21,-113.21,9
Wales town,39.49,-111.64,19
Wallsburg town,40.39,-111.42,20
Wanship,40.82,-111.42,20
Washington city,37.13,-113.49,9
